LR.Index	CellChat	CytoTalk	celltalkdb
Apoe_Trem2	0	0	1
Apoe_Vldlr	0	1	1
Apom_Lrp2	0	0	1
App_Adra2a	0	0	1
App_Casr	0	0	1
App_Cav1	0	1	1
App_Cd47	0	0	1
App_Cd74	1	1	1
App_Dcc	0	0	1
App_Drd3	0	0	1
App_Fpr2	0	1	1
App_Gpc1	0	1	0
App_Gpr3	0	0	1
App_Lrp1	0	1	1
App_Lrp10	0	0	1
App_Lrp2	0	0	1
App_Lrp4	0	0	1
App_Lrp6	0	0	1
App_Lrp8	0	0	1
App_Ncstn	0	1	1
App_Ngfr	0	0	1
App_Notch1	0	0	1
App_Notch2	0	0	1
App_Sorcs1	0	0	1
App_Sorl1	0	0	1
App_Tnfrsf21	0	1	1
App_Trpc6	0	0	1
App_Tspan12	0	0	1
App_Tspan15	0	0	1
App_Vldlr	0	0	1
Areg_Egfr	1	1	1
Areg_Erbb2	1	0	1
Areg_Erbb3	0	1	1
Areg_Erbb4	0	0	1
Areg_Igf1r	0	0	1
Arf1_Chrm3	0	1	0
Arf1_Insr	0	1	0
Arf1_Pld2	0	1	0
Arf4_Lrp2	0	0	1
Arf6_Pld1	0	0	1
Artn_Gfra1	1	1	1
Artn_Gfra2	0	0	1
Artn_Gfra3	1	1	1
Artn_Ret	1	1	1
Artn_Sdc3	0	0	1
Avp_Avpr1a	1	1	1
Avp_Avpr1b	1	1	1
Avp_Avpr2	1	1	1
Avp_Oxtr	0	1	1
Azgp1_Itgav	0	1	0
B2m_Gm11127	0	1	0
B2m_Gm7030	0	1	0
B2m_Hfe	0	1	0
Bag6_Ncr3-ps	1	0	0
Bdnf_Bex3	0	0	1
Bdnf_Insrr	0	0	1
Bdnf_Ngfr	0	1	1
Bdnf_Ntrk1	0	0	1
Bdnf_Ntrk2	1	1	1
Bdnf_Ntrk3	0	0	1
Bdnf_Sorcs2	0	0	1
Bdnf_Sort1	0	1	1
Bgn_Cd44	0	0	1
Bgn_P2rx4	0	0	1
Bgn_P2rx7	0	0	1
Bgn_Tlr2	0	1	1
Bgn_Tlr4	0	1	1
Bmp10_Acvr1	0	0	1
Bmp10_Acvr2a	1	1	0
Bmp10_Acvrl1	1	1	1
Bmp10_Alk	0	0	1
Bmp10_Bmpr1a	0	1	1
Bmp10_Bmpr1b	0	1	1
Bmp10_Bmpr2	1	1	1
Bmp10_Eng	0	1	1
Bmp10_Tgfbr1	0	0	1
Bmp15_Acvr1b	0	0	1
Bmp15_Acvr1c	0	0	1
Bmp15_Acvr2a	0	1	0
Bmp15_Bmpr1a	0	1	1
Bmp15_Bmpr1b	1	1	1
Bmp15_Bmpr2	1	1	1
Bmp15_Tgfbr1	0	0	1
Bmp2_Acvr1	0	1	1
Bmp2_Acvr2a	1	1	1
Bmp2_Acvr2b	1	1	1
Bmp2_Bmpr1a	1	1	1
Bmp2_Bmpr1b	1	1	1
Bmp2_Bmpr2	1	1	1
Bmp2_Eng	0	1	0
Bmp2_Hjv	0	0	1
Bmp2_Tgfbr3	0	0	1
Bmp3_Acvr2a	0	0	1
Bmp3_Acvr2b	0	1	1
Bmp4_Acvr2a	1	0	1
Bmp4_Acvr2b	1	0	0
Bmp4_Bmpr1a	1	1	1
Bmp4_Bmpr1b	1	1	1
Bmp4_Bmpr2	1	1	1
Bmp4_Hjv	0	0	1
Bmp4_Musk	0	0	1
Bmp5_Acvr1	1	0	0
Bmp5_Acvr2a	1	0	0
Bmp5_Acvr2b	1	0	0
Bmp5_Bmpr1a	1	1	1
Bmp5_Bmpr1b	1	0	1
Bmp5_Bmpr2	1	0	1
Bmp6_Acvr1	1	1	1
Bmp6_Acvr2a	1	1	0
Bmp6_Acvr2b	1	0	1
Bmp6_Bmpr1a	1	1	1
Bmp6_Bmpr1b	1	1	1
Bmp6_Bmpr2	1	1	1
Bmp6_Hjv	0	0	1
Bmp7_Acvr1	1	1	1
Bmp7_Acvr2a	1	1	1
Bmp7_Acvr2b	1	1	1
Bmp7_Acvrl1	0	0	1
Bmp7_Bmpr1a	1	1	1
Bmp7_Bmpr1b	1	1	1
Bmp7_Bmpr2	1	1	1
Bmp7_Eng	0	1	0
Bmp8a_Acvr1	1	0	0
Bmp8a_Acvr2a	1	0	1
Bmp8a_Acvr2b	1	0	1
Bmp8a_Bmpr1a	1	0	1
Bmp8a_Bmpr1b	1	0	0
Bmp8a_Bmpr2	1	0	1
Bmp8a_Tgfbr1	0	0	1
Bmp8a_Tgfbr2	0	0	1
Bmp8b_Acvr1	1	0	0
Bmp8b_Acvr2a	1	0	1
Bmp8b_Acvr2b	1	0	1
Bmp8b_Bmpr1a	1	0	1
Bmp8b_Bmpr1b	1	0	1
Bmp8b_Bmpr2	1	0	1
Bmp8b_Tgfbr2	0	0	1
Bsg_Cav1	0	0	1
Bsg_Cd44	0	0	1
Bsg_Itgb2	0	0	1
Bsg_Sele	0	0	1
Bsg_Slc16a1	0	0	1
Bsg_Slc16a7	0	0	1
Bsg_Spn	0	0	1
Bst1_Cav1	0	1	0
Bst2_Pira2	1	0	0
Btc_Egfr	1	1	1
Btc_Erbb2	1	1	1
Btc_Erbb3	0	1	0
Btc_Erbb4	1	1	1
Btla_Cd79a	0	1	0
Btla_Tnfrsf14	1	0	1
Btla_Vtcn1	0	1	0
C1qa_Cd93	0	1	1
C1qa_Cspg4	0	1	0
C1qb_Lrp1	0	1	0
C1qtnf1_Avpr2	0	1	0
C1qtnf5_Mfrp	0	1	1
C3_C3ar1	1	1	1
C3_C5ar2	0	1	1
C3_Cd19	0	1	1
C3_Cd46	0	1	1
C3_Cd55	0	0	1
C3_Cd81	0	0	1
C3_Cr2	1	0	1
C3_Itgam	1	1	1
C3_Itgax	1	1	0
C3_Itgb2	1	1	1
C3_Lrp1	0	1	1
C4a_C3ar1	1	1	0
C4a_C5ar2	0	1	0
C4a_Cd46	0	1	0
C4b_C3ar1	0	1	0
C4b_C5ar2	0	1	0
C4b_Cd46	0	1	0
C4b_Cr2	1	0	0
Cadm1_Cadm1	1	0	0
Cadm1_Crtam	0	1	0
Cadm3_Cadm3	1	0	0
Calca_Calcr	1	1	1
Calca_Calcrl	1	1	1
Calca_Ramp1	0	1	0
Calca_Ramp2	0	1	0
Calcb_Calcr	1	1	0
Calcb_Calcrl	1	1	0
Calcb_Ramp1	0	1	0
Calm1_Adcy8	0	0	1
Calm1_Cacna1c	0	0	1
Calm1_Cnga2	0	0	1
Calm1_Fas	0	0	1
Calm1_Grm4	0	0	1
Calm1_Kcnn4	0	0	1
Calm1_Kcnq1	0	0	1
Calm1_Kcnq3	0	0	1
Calm1_Mip	0	0	1
Calm1_Mylk	0	0	1
Calm1_Oprm1	0	0	1
Calm1_Scn10a	0	0	1
Calm1_Scn4a	0	0	1
Calm1_Sell	0	0	1
Calm1_Trpc5	0	0	1
Calm2_Adcy8	0	0	1
Calm2_Cacna1c	0	0	1
Calm2_Grm7	0	0	1
Calm2_Kcnq3	0	0	1
Calm2_Mylk	0	0	1
Calm2_Scn10a	0	0	1
Calm2_Scn4a	0	0	1
Calm2_Trpc5	0	0	1
Calm3_Adcy8	0	0	1
Calm3_Grm7	0	0	1
Calm3_Kcnq3	0	0	1
Calm3_Mylk	0	0	1
Calm3_Scn10a	0	0	1
Calm3_Scn4a	0	0	1
Calm3_Trpc5	0	0	1
Calml3_Kcnq1	0	0	1
Calr_Itga2b	0	1	0
Calr_Itga3	0	1	0
Calr_Itgav	0	1	0
Calr_Lrp1	0	1	1
Calr_Mpl	0	0	1
Calr_Mtnr1a	0	1	0
Calr_Scarf1	0	1	1
Calr_Tshr	0	1	0
Camp_Fpr2	0	1	0
Camp_P2rx7	0	0	1
Cck_Cckar	1	1	1
Cck_Cckbr	1	1	1
Ccl11_Ackr1	1	0	0
Ccl11_Ackr2	1	1	1
Ccl11_Ackr4	0	1	1
Ccl11_Ccr2	0	1	1
Ccl11_Ccr3	1	1	1
Ccl11_Ccr5	0	1	1
Ccl11_Cxcr3	0	1	1
Ccl12_Ccr2	1	0	1
Ccl12_Ccr4	0	0	1
Ccl17_Ackr1	1	0	1
Ccl17_Ackr2	1	0	1
Ccl17_Ccr4	1	1	1
Ccl17_Ccr8	0	1	1
Ccl19_Ackr2	0	1	0
Ccl19_Ackr4	1	1	1
Ccl19_Ccr10	0	1	0
Ccl19_Ccr7	1	1	1
Ccl19_Ccrl2	0	1	0
Ccl19_Cxcr3	0	1	1
Ccl1_Ackr1	1	0	0
Ccl1_Ackr4	1	0	0
Ccl1_Ccr8	1	1	1
Ccl20_Ccr6	1	1	1
Ccl20_Cxcr3	0	1	1
Ccl21a_Ackr2	0	1	1
Ccl21a_Ackr4	1	1	0
Ccl21a_Ccr7	1	1	1
Ccl21a_Cxcr3	0	1	1
Ccl21b_Ackr2	0	1	0
Ccl21b_Ackr4	1	1	0
Ccl21b_Ccr7	1	1	1
Ccl21b_Cxcr3	0	1	1
Ccl21c_Ackr4	1	0	0
Ccl21c_Ccr7	1	0	1
Ccl21c_Cxcr3	0	0	1
Ccl21d_Ccr7	0	0	1
Ccl21d_Cxcr3	0	0	1
Ccl22_Ackr2	1	0	1
Ccl22_Ccr4	1	1	1
Ccl22_Dpp4	0	0	1
Ccl24_Ackr2	1	0	1
Ccl24_Ccr2	0	1	1
Ccl24_Ccr3	1	1	1
Ccl25_Ackr2	0	1	1
Ccl25_Ackr4	1	1	1
Ccl25_Ccr10	0	1	0
Ccl25_Ccr9	1	1	1
Ccl26_Ackr2	1	0	0
Ccl26_Ccr1	0	1	0
Ccl26_Ccr2	0	1	1
Ccl26_Ccr3	1	1	1
Ccl26_Cx3cr1	0	0	1
Ccl27a_Ackr2	0	1	1
Ccl27a_Ccr10	1	1	1
Ccl27a_Ccr2	1	0	0
Ccl27a_Ccr3	1	0	0
